"Location","Control Program","Name","Type","Offset / Polarity","Exp:Num","I/O Type"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","FACX-LPSB.BLR_FAIL","BBI","reversed","0:3","Dry Contact"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","FACX-LPSB.BLR-STAT","BBI","reversed","0:2","Dry Contact"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","EXT Combustion DAMPER STATUS","BBI","reversed","0:4","Dry Contact"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","INT Combustion DAMPER STATUS","BBI","reversed","0:7","Dry Contact"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","FACX-LPSB.BLR-PANEL-CTRL","BBO","normal","0:6","Relay / Triac Output"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","FACX-LPSB.COMB-DAMP-CTRL","BBO","normal","0:5","Relay / Triac Output"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","Heat Active","BBV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","Schedule","BBV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","BOILER ALARM","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","BOILER FAILURE ALARM","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","BOILER HAND ALARM","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","BOILER RUNTIME ALARM","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","Combustion DAMPER ALARM","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","Combustion DAMPER HAND ALARM","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","HREQ1","POLLTOT","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","HREQ2","POLLTOT","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","HREQ3","POLLTOT","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","OAT","ANI","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","point name","ANI","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","point name","ANI","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","point name","ANI","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","point name","BNI","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","point name","BNI","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-Low-Pres-Steam-Boiler B-1","point name","BNI","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Setpoint","BSPTCS","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Setpoint / Cooling Occupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Setpoint / Heating Occupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Setpoint / Cooling Unoccupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Setpoint / Heating Unoccupied Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Setpoint / Cooling Setpoint Adjust","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Setpoint / Heating Setpoint Adjust","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Setpoint / Effective Cooling Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Setpoint / Effective Heating Setpoint","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","FACX-UH1.RMT","BAI","0","0:6","Thermistor"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","FACX-UH1.SF-STAT","BBI","normal","0:5","Dry Contact"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","FACX-UH1.SF-S/S","BBO","normal","0:1","Relay / Triac Output"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","FACX-UH1.HTG-VLV","BFM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","FACX-UH1.HTG-VLV / open","BFM","" ,"0:3","Relay / Triac Output"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","FACX-UH1.HTG-VLV / close","BFM","" ,"0:2","Relay / Triac Output"
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Active Zone","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","EI Weighting","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Environmental Index Count","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","HEAT RUN FOR","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","RUN REQ","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Zone EI Time Satisfied","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Zone EI Total Weight","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Zone Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Zone Weighted Environmental Index","BAV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","schedule","BBV","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Fan-1 Alarm","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Fan-1 Hand Alarm","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Fan-1 Runtime Alarm","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","HI Zone Alarm","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","LO Zone Alarm","BALM","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Demand","ANI","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","Heat Available","BNI","" ,"" ,"" 
"/Carleton College/Faculty Club & Annex/Facility Summary","FACX-UH1","OAT","ANI","" ,"" ,"" 

